Landroid/nfc/ApduList$1;->createFromParcel(Landroid/os/Parcel;)Ljava/lang/Object;,public-api,sdk,system-api,test-api
Landroid/nfc/ApduList$1;->newArray(I)[Ljava/lang/Object;,public-api,sdk,system-api,test-api
Landroid/nfc/ApduList;-><init>()V,lo-prio,max-target-o
Landroid/nfc/ApduList;-><init>(Landroid/os/Parcel;)V,lo-prio,max-target-o
Landroid/nfc/ApduList;->CREATOR:Landroid/os/Parcelable$Creator;,lo-prio,max-target-o
Landroid/nfc/ApduList;->add([B)V,lo-prio,max-target-o
Landroid/nfc/ApduList;->commands:Ljava/util/ArrayList;,lo-prio,max-target-o
Landroid/nfc/ApduList;->describeContents()I,public-api,sdk,system-api,test-api
Landroid/nfc/ApduList;->get()Ljava/util/List;,lo-prio,max-target-o
Landroid/nfc/ApduList;->writeToParcel(Landroid/os/Parcel;I)V,public-api,sdk,system-api,test-api
Landroid/nfc/AvailableNfcAntenna$1;->createFromParcel(Landroid/os/Parcel;)Ljava/lang/Object;,public-api,sdk,system-api,test-api
Landroid/nfc/AvailableNfcAntenna$1;->newArray(I)[Ljava/lang/Object;,public-api,sdk,system-api,test-api
Landroid/nfc/AvailableNfcAntenna;-><init>(II)V,public-api,sdk,system-api,test-api
Landroid/nfc/AvailableNfcAntenna;->CREATOR:Landroid/os/Parcelable$Creator;,public-api,sdk,system-api,test-api
Landroid/nfc/AvailableNfcAntenna;->describeContents()I,public-api,sdk,system-api,test-api
Landroid/nfc/AvailableNfcAntenna;->equals(Ljava/lang/Object;)Z,core-platform-api,public-api,sdk,system-api,test-api
Landroid/nfc/AvailableNfcAntenna;->getLocationX()I,public-api,sdk,system-api,test-api
Landroid/nfc/AvailableNfcAntenna;->getLocationY()I,public-api,sdk,system-api,test-api
Landroid/nfc/AvailableNfcAntenna;->hashCode()I,core-platform-api,public-api,sdk,system-api,test-api
Landroid/nfc/AvailableNfcAntenna;->toString()Ljava/lang/String;,core-platform-api,public-api,sdk,system-api,test-api
Landroid/nfc/AvailableNfcAntenna;->writeToParcel(Landroid/os/Parcel;I)V,public-api,sdk,system-api,test-api
Landroid/nfc/ComponentNameAndUser$1;->createFromParcel(Landroid/os/Parcel;)Ljava/lang/Object;,public-api,sdk,system-api,test-api
Landroid/nfc/ComponentNameAndUser$1;->newArray(I)[Ljava/lang/Object;,public-api,sdk,system-api,test-api
Landroid/nfc/ComponentNameAndUser;->describeContents()I,public-api,sdk,system-api,test-api
